#Rule	Antecedent 	Consequent	Sup(A)	Sup(B)	Sup(A=>B)	Conf(A=>B)	Lift(A=>B)
1	A_CreateApplication-A_Submitted-W_PersonalLoancollection	O_Refused	3.51E-05	0.116699989	3.51E-05	1	8.569
2	A_CreateApplication-W_Assesspotentialfraud-W_PersonalLoancollection	O_Refused	3.51E-05	0.116699989	3.51E-05	1	8.569
3	A_Submitted-W_Completeapplication-W_PersonalLoancollection	O_Refused	3.51E-05	0.116699989	3.51E-05	1	8.569
4	A_Submitted-A_Accepted-W_PersonalLoancollection	O_Refused	3.51E-05	0.116699989	3.51E-05	1	8.569
5	A_CreateApplication-A_Denied-W_PersonalLoancollection	O_Refused	3.51E-05	0.116699989	3.51E-05	1	8.569
6	A_Submitted-O_CreateOffer-W_PersonalLoancollection	O_Refused	3.51E-05	0.116699989	3.51E-05	1	8.569
7	A_Submitted-O_Sent(mailandonline)-W_PersonalLoancollection	O_Refused	3.51E-05	0.116699989	3.51E-05	1	8.569
8	A_Submitted-A_Concept-W_PersonalLoancollection	O_Refused	3.51E-05	0.116699989	3.51E-05	1	8.569
9	A_CreateApplication-A_Denied-W_Shortenedcompletion	O_Refused	0.0001	0.117	0.0001	1	8.569
10	A_Submitted-W_Callafteroffers-W_PersonalLoancollection	O_Refused	3.51E-05	0.116699989	3.51E-05	1	8.569
11	A_Submitted-O_Returned-W_PersonalLoancollection	O_Refused	3.51E-05	0.116699989	3.51E-05	1	8.569
12	A_Submitted-A_Validating-W_PersonalLoancollection	O_Refused	3.51E-05	0.116699989	3.51E-05	1	8.569
13	A_Submitted-O_Created-W_PersonalLoancollection	O_Refused	3.51E-05	0.116699989	3.51E-05	1	8.569
14	A_Submitted-W_Validateapplication-W_PersonalLoancollection	O_Refused	3.51E-05	0.116699989	3.51E-05	1	8.569
15	A_Submitted-A_Complete-W_PersonalLoancollection	O_Refused	3.51E-05	0.116699989	3.51E-05	1	8.569
16	W_Completeapplication-A_Denied-O_Sent(onlineonly)	O_Refused	0.003647971	0.116699989	0.004	1	8.569
17	A_Incomplete-A_Denied-W_Assesspotentialfraud	O_Refused	0.001823985	0.116699989	0.002	1	8.569
18	A_Denied-W_Handleleads-O_Sent(onlineonly)	O_Refused	0.00063138	0.116699989	0.001	1	8.569
19	W_Callincompletefiles-A_Denied-W_Assesspotentialfraud	O_Refused	0.001823985	0.116699989	0.002	1	8.569
20	A_Denied-O_Cancelled-W_Assesspotentialfraud	O_Refused	0.000280613	0.116699989	0.0003	1	8.569
